Valor;Area;Dist_Praia;Dist_Farmacia
4600000;280;0.240925428;0.793637
900000;208;0.904135764;0.134494
2550000;170;0.05952528;0.423318
550000;100;2.88318073;0.525064
2200000;164;0.239757554;0.192374
1449993;143;5.119767035;0.043398
464000;107;7.846771299;0.157954
1050000;87;0.190406284;0.555212
1580000;155;2.24181477;0.001266
4200000;348;0.105480457;0.854900
1300000;70;0.336488701;0.620100
1200000;156;0.151470218;0.914211
460000;73;4.320908358;0.625803
435000;51;1.699378001;0.955060
3450000;173;0.041951309;0.826107
390000;68;1.174936089;0.332049
1150000;80;0;0.540105
1189000;82;0.764142755;0.229142
560000;85;6.393219185;0.116154
850000;90;1.007498505;0.848916
440000;79;7.717421621;0.642259
375000;41;3.251297541;0.527932
490000;57;1.889150059;0.510174
230000;55;5.652285566;0.370942
160000;55;8.074184479;0.038412
4100000;173;2.196337845;0.714265
4500000;200;0.340529574;0.228830
740000;96;1.233790947;0.720877
360000;38;0.953047855;0.762064
370000;79;6.863006269;0.187991
450000;76;7.907684834;0.807727
530000;78;1.028260088;0.132569
1100000;73;2.466608974;0.869347
410000;65;6.794796075;0.741907
680000;67;6.596640036;0.102129
580000;89;0.94858464;0.176834
2500000;350;0.425667816;0.075311
250000;58;6.167202127;0.758071
250000;53;4.672104184;0.238702
4250000;487;2.314020774;0.429702
233000;36;5.459016287;0.696887
562000;110;6.860317897;0.836791
2300000;143;2.550538275;0.090830
225000;68;7.69998521;0.047211
1050000;105;1.14771522;0.296757
260000;55;7.612598348;0.093646
2350000;242;0.451663647;0.959268
180000;51;4.171351453;0.416871
5800000;180;0.05478342;0.728126
4500000;333;0.110001014;0.681645
270000;52;7.190071317;0.854032
1150000;70;0.054454091;0.987232
650000;91;4.452170228;0.427942
290000;52;10.31431502;0.931160
2500000;140;0.593280397;0.662322
2000000;140;0.091440163;0.728529
740000;140;1.553783476;0.503368
750000;54;0.386030978;0.535867
440000;69;5.654261708;0.861400
495000;91;7.853892265;0.443865
995800;68;5.240119322;0.038825
1699000;110;1.368796115;0.102861
435000;35;0.606099546;0.188966
535000;82;3.334833966;0.620537
900000;140;1.362051551;0.536425
435000;41;0.080573621;0.525811
308000;53;0.970645738;0.617510
679993;115;9.58291726;0.976757
1170000;232;1.44147047;0.828050
340000;66;7.518428459;0.907788
3200000;276;0.362672821;0.458845
360000;70;8.050356588;0.908698
2900000;260;1.581334955;0.260192
1450000;60;0.583750855;0.904098
650000;80;0.41559994;0.240718
690000;80;0.94810602;0.980858
440000;65;4.701078507;0.923490
16500000;300;0;0.516041
472520;71;1.722169686;0.367581
950000;86;1.186885911;0.261080
395000;75;6.773256072;0.335929
1980000;171;0.277630913;0.832495
536000;87;0.872313247;0.971802
750000;110;6.082084261;0.735596
823600;114;8.835579602;0.484844
2500000;160;0.104997284;0.166375
4000000;244;0.050168111;0.287733
199000;20;2.533428099;0.449045
300000;75;4.460190965;0.539456
3700000;307;3.294649093;0.401014
299000;54;6.04903063;0.897074
328000;56;5.850671658;0.781036
1500000;95;0.340513206;0.045695
950000;177;7.596182929;0.025741
640000;75;5.590214701;0.344316
805000;84;5.824821675;0.253290
225000;60;7.556334884;0.068597
630000;96;5.163549534;0.233172
1200000;156;5.163549534;0.540905
430000;65;4.763160421;0.180774
5500000;340;0.101507667;0.176530
1950000;209;5.437160027;0.342816
275000;56;8.133497975;0.424108
950000;131;0.475062456;0.267787
1050000;100;0.035370645;0.031701
650000;90;6.115163541;0.990276
1350000;120;0.12816518;0.217732
3160000;135;0.01328214;0.503425
230000;60;8.194873023;0.047115
1300000;100;6.118410988;0.162955
2200000;233;0.848463551;0.520078
975000;110;1.559445515;0.165253
1130000;182;8.148118601;0.109462
1100000;80;0.972674502;0.296335
895000;115;2.74345832;0.398358
650000;94;1.141122841;0.138856
320000;51;9.075762397;0.229431
378000;80;7.841690836;0.648718
499000;70;0.677249672;0.040322
3600000;262;0.680659741;0.086631
3995000;296;3.294649093;0.427000
1100000;76;0.255657787;0.371739
1680000;200;0.443694818;0.671210
230000;55;7.188421474;0.392343
650000;95;1.553783476;0.891762
2200000;200;0.365860019;0.596545
1090000;76;0.575058127;0.347506
1470000;140;0.815546523;0.451173
200000;42;3.141567332;0.863552
750000;160;5.728473876;0.302662
1400000;92;0.537008459;0.841438
189000;70;5.974026164;0.365716
1195000;75;0.68341781;0.955122
1350000;374;0.753289468;0.799495
1050000;69;2.450874919;0.169452
3300000;140;0.502020118;0.103412
350000;30;0.370148456;0.610905
600000;91;7.725977639;0.297051
399000;58;6.17971556;0.746152
388435;36;2.093921238;0.357083
350000;59;4.450504436;0.195765
790000;30;0.364045943;0.821406
140000;50;14.38040031;0.425234
2350000;233;1.487104667;0.653144
1600000;80;0.442715183;0.611288
280000;65;8.539616005;0.308939
2730000;80;0.054887914;0.676110
820000;92;6.464343765;0.250151
230000;55;5.323517204;0.914706
415000;78;4.424044286;0.330518
640000;56;0.914668102;0.727297
1800000;190;0.002068053;0.272421
390000;60;5.213856817;0.117380
465000;83;8.408592105;0.797095
199900;48;7.808211629;0.449864
3150000;285;0.195600585;0.623829
260000;60;7.180893449;0.121158
6500000;300;0.117657046;0.351509
1240000;122;0.429990603;0.452651
1830000;135;0.368656144;0.265126
890000;87;0.644860408;0.441628
15000000;598;0;0.856798
700000;75;0.271763388;0.151773
1120000;111;1.228239091;0.657118
260000;75;5.210040909;0.662686
364900;67;3.89840572;0.553155
700000;110;6.91342557;0.127183
640000;102;6.119350434;0.182788
350000;63;4.057734006;0.419912
1100000;190;0.619595606;0.262981
3800000;170;0.01328214;0.821441
1099000;160;3.304734137;0.092704
1200000;216;1.081976014;0.555031
5300000;450;0.039072986;0.207168
1550000;249;1.261893962;0.334185
4200000;250;0.570831582;0.211026
949999;203;5.146943625;0.236641
990000;115;1.559445515;0.174056
580000;65;5.67589336;0.892504
350000;68;3.294649093;0.053250
1850000;107;0.724049871;0.322418
385000;70;7.913275305;0.661728
2500000;130;0;0.570000
1050000;80;0.347758951;0.556202
170000;50;9.46847249;0.712431
750000;280;0.703771312;0.160384
2500000;173;0.492167318;0.450573
450000;52;6.207589435;0.239451
8000000;372;1.342394524;0.631093
270000;50;5.262867737;0.919313
850000;138;1.165877499;0.134911
225000;32;4.270141829;0.563209
449000;97;7.907684834;0.385738
4700000;370;2.486862035;0.523312
820000;219;8.164295648;0.319285
3990000;513;0.173454538;0.842260
589000;166;9.564278938;0.237036
4500000;570;0.332910589;0.149488
550000;45;0.190631852;0.391004
850000;142;1.657033245;0.491759
1550000;70;0.183450516;0.443699
380000;85;7.519168622;0.149813
540000;106;5.652285566;0.029474
1600000;93;1.068776577;0.659172
820000;75;0.38081321;0.344048
4680000;490;6.026795175;0.010825
580000;50;2.128900515;0.877694
165000;26;1.234050397;0.418449
320000;67;6.613428903;0.012770
380000;45;2.191745607;0.500657
900000;95;0.597175564;0.525415
400000;66;3.094592106;0.961514
850000;110;0.349358402;0.968135
949993;106;4.410975897;0.172783
900000;89;0.942304317;0.201002
632000;128;7.65255499;0.574675
670000;88;1.630460815;0.883685
495000;64;6.616943971;0.665320
2490000;170;0;0.112546
358000;92;9.34684395;0.319359
2700000;150;0.371530604;0.900557
1700000;78;0.317031428;0.285307
112000;44;10.34276725;0.893325
370000;65;6.202106549;0.481807
590000;44;0.866495584;0.712253
399000;85;6.246717797;0.375464
480000;74;4.417484894;0.632848
1790000;110;0.375701191;0.669630
370000;65;6.354407299;0.680442
1250000;80;0.435647249;0.916309
3150000;190;1.899406135;0.869095
278000;62;7.320045023;0.988149
690000;140;7.630117389;0.954091
850000;100;0.500509949;0.600638
2650000;100;0.709784908;0.717529
1799993;170;1.643445445;0.967308
450000;33;0.337896272;0.141651
509900;85;7.873965131;0.470842
1200000;99;0.340024157;0.463547
270000;33;2.436617322;0.705428
450000;40;0.397425293;0.678565
600000;200;8.159490033;0.768201
275000;68;3.94904779;0.256173
300000;36;1.111775346;0.521698
280000;51;9.161539432;0.213049
950000;94;0.748011338;0.513703
800000;93;6.45423549;0.949507
1400000;111;0.610876814;0.885097
352000;66;8.15081318;0.543205
680000;54;0.377235537;0.793054
359900;65;4.001922315;0.692572
3200000;320;2.633390365;0.995709
1995000;175;0.510378546;0.164681
2300000;220;8.438495682;0.733804
451000;69;5.017801905;0.860151
500000;85;1.145993567;0.747540
2200000;215;1.048210518;0.457707
1300000;150;6.191122457;0.751134
8600000;317;2.569273952;0.477344
240000;50;7.696276083;0.416442
1140000;111;0.483599326;0.803535
850000;72;1.196937651;0.960653
3200000;207;2.121971645;0.195562
740000;63;0.84729943;0.279816
495000;68;0.7694451;0.109451
549000;82;6.829063814;0.181166
690000;43;0.544808957;0.141294
1100000;86;0.907212415;0.228624
420000;82;8.548206378;0.666952
2750000;308;0.513953877;0.669682
5300000;215;0.180908028;0.244761
1150000;92;0.555292739;0.116306
450000;67;4.596800088;0.073053
3990000;180;0.225634798;0.623594
6350000;344;0.137567162;0.062701
256000;46;9.186298342;0.671555
489000;130;7.817664085;0.843606
290000;75;6.475537161;0.850132
880000;102;1.145658068;0.552543
1300000;107;3.294649093;0.482291
4000000;466;1.584689816;0.182586
4800000;200;0.174596415;0.542585
575000;38;1.553783476;0.074534
1900000;130;1.116617986;0.431652
970000;93;5.246264701;0.170998
680000;75;0.450305073;0.137794
4950000;301;0.046722477;0.309254
200000;50;9.124939731;0.114999
3500000;339;0.505635762;0.621014
750000;66;0.016688881;0.753713
330000;64;7.907684834;0.990213
1100000;170;0.588480144;0.180416
645000;38;1.747955086;0.979506
520000;75;5.696228241;0.404972
2150000;200;0.135238026;0.552367
998000;185;6.522476076;0.944833
240000;65;7.518428459;0.025598
990000;100;0.145757928;0.810551
2500000;160;2.529613296;0.516219
165000;48;11.22279519;0.392321
1380000;117;0.81532166;0.140818
720000;130;6.168544144;0.908394
575000;84;5.699254074;0.984677
2999000;300;1.52473761;0.619996
245000;75;13.45717667;0.319526
1590000;133;0.091002036;0.658555
829000;148;1.829138571;0.436711
1590000;140;0.449541408;0.866014
12000000;492;2.705331453;0.176360
1080000;146;4.803006453;0.346523
280000;75;5.825246175;0.423028
2200000;100;0.110318388;0.308499
1500000;124;2.497677015;0.114999
1300000;70;0.468553629;0.126108
205000;47;5.323517204;0.113040
550000;92;7.899101513;0.096894
300000;100;9.454072373;0.052334
670000;77;0.735264988;0.232902
1250000;60;0.348274951;0.196192
630000;94;4.487355331;0.509769
799000;85;0.451305663;0.201431
650000;72;6.467739009;0.316715
3190000;380;2.24181477;0.951215
416700;63;4.615575008;0.448594
490000;43;0.144172936;0.629211
1048000;99;1.047749739;0.269719
165000;49;2.734548332;0.851120
600000;135;7.090760422;0.968158
219500;57;8.485576648;0.667521
930000;82;0.732202705;0.203775
800000;70;0.078848856;0.158585
1179993;143;5.119767035;0.882713
350000;59;8.177414153;0.537714
1050000;69;0.617839484;0.171091
750000;65;0.932168851;0.447268
1400000;120;0.364478136;0.436302
685000;40;0.478180739;0.163959
1100000;91;0.663633307;0.302715
1450000;194;0.848024881;0.490608
1100000;90;0.612318139;0.327141
370000;71;8.34180807;0.051300
577000;78;4.851510824;0.963358
569000;130;7.352646429;0.319353
450000;75;6.581940169;0.886707
320000;90;6.899707369;0.222674
1722234;72;0.284983476;0.140626
290000;77;8.505385328;0.546911
550000;70;0.948875475;0.407928
600000;95;1.177136494;0.391236
1000000;76;2.413282241;0.856494
215000;60;6.195154504;0.053786
430000;70;6.216008163;0.710924
730000;96;8.348590749;0.064787
800000;72;0.512809012;0.366487
1890000;175;0.564642857;0.137429
2055000;90;0.235668018;0.500459
425000;68;8.266678651;0.652622
859000;154;0.622125324;0.818229
439000;69;5.982644594;0.481330
1400000;109;0.354355474;0.770145
630000;100;6.894210734;0.184502
760000;75;7.699152942;0.955326
850000;76;1.105053891;0.553079
674500;73;6.746431405;0.647263
895000;118;1.289331478;0.598172
2350000;194;0.355658824;0.722408
4200000;390;0.084441806;0.211517
2400000;170;0.395124456;0.062389
700000;177;3.123222287;0.755484
865000;95;1.082955852;0.401889
210000;53;7.798386118;0.948473
600000;41;0.11216365;0.772061
6600000;280;0.108179274;0.901815
155000;40;5.858705612;0.716429
450000;92;7.77842839;0.704577
519000;72;1.511953082;0.327105
1750000;352;0.388191655;0.622923
699000;162;8.239109133;0.557224
370000;72;8.771524692;0.999678
230000;67;7.255909757;0.427255
4600000;292;1.641230293;0.339326
1590000;135;0.129433972;0.253595
245000;61;12.01117059;0.934254
957446;130;8.537220495;0.320003
950000;70;2.243057875;0.516413
410000;106;5.595926315;0.181621
2180000;190;0.316218918;0.007647
1100000;120;3.294649093;0.900847
590000;70;7.227110401;0.534507
570000;70;6.207589435;0.288359
895000;90;1.082955852;0.839621
750000;91;8.645406694;0.413395
1390000;130;1.147352611;0.082388
595000;40;0.558204808;0.151305
1350000;140;1.183390248;0.355816
450000;81;8.179302759;0.971161
243000;59;7.233041337;0.613468
385000;100;6.843552706;0.780154
580000;92;6.608266007;0.244379
389000;72;2.055225551;0.845846
264900;64;5.492943804;0.995601
1050000;100;0.718664251;0.182581
690000;65;0.729537118;0.957772
789000;206;7.898110954;0.638244
4200000;260;0.06376702;0.980877
535100;75;2.807699453;0.140636
199999;60;5.475623239;0.269069
290000;88;7.508220529;0.562051
1695000;171;4.73885629;0.032354
480000;63;4.44868117;0.952177
455000;83;5.042202859;0.210091
590000;140;4.491362948;0.552990
520000;90;7.462910629;0.618104
1890000;90;1.371811259;0.712415
999000;140;0.218816094;0.309745
3650000;173;2.676389711;0.821116
3500000;350;2.250003072;0.716963
610000;148;2.805266392;0.685199
688000;227;1.93757314;0.494685
340000;72;3.294649093;0.269986
880000;70;0.854470317;0.844817
3400000;131;0.01328214;0.077352
550000;170;6.108024913;0.298152
530000;120;1.066814942;0.821817
355000;64;4.766154774;0.093612
1280000;129;0.931965619;0.684170
1200000;120;1.12593657;0.212544
740000;62;0.339522832;0.335932
235000;50;5.074748993;0.788917
1090000;138;4.597380754;0.380640
690000;90;6.659447128;0.493491
760000;152;6.368722071;0.903380
1780000;180;0.139914361;0.474190
655000;60;6.393048064;0.386858
7795000;250;0.26340896;0.991233
1300000;110;0.510062987;0.742039
810000;91;0.522733143;0.999803
1410000;86;1.701881033;0.441890
540000;50;0.603622923;0.264720
2800000;280;0.566843345;0.527892
3800000;146;0.694994586;0.342715
439900;127;10.48138017;0.117637
900000;160;0.846381492;0.927097
499000;170;7.645170583;0.659214
395000;87;10.47259547;0.620888
225000;65;3.10466831;0.987010
590000;87;6.117066376;0.333419
200000;52;7.730656067;0.242818
269000;55;6.634812213;0.325629
990000;90;0.706697465;0.061304
290000;62;8.794386429;0.395979
899900;97;0.803655622;0.656868
1800000;85;0.570788894;0.403562
850000;82;1.678563429;0.487506
610000;70;4.578858613;0.013921
3800000;140;0;0.776262
125000;52;13.25386121;0.389744
895000;125;0.663798349;0.483704
420000;70;0.963630013;0.768118
555000;120;1.466905345;0.168527
1080000;95;0.123383413;0.024024
595000;41;0.124226273;0.314578
840000;138;0.19500852;0.242166
860000;75;0.129651696;0.758153
715000;89;4.454816201;0.145668
360000;70;1.870257209;0.812868
3500000;200;0.131674555;0.289517
700000;140;5.902578229;0.609032
449999;52;6.121870444;0.236154
240000;52;5.923177835;0.557861
565000;70;1.787159779;0.437461
990000;119;1.629708881;0.220820
1370000;95;2.268332667;0.402072
400000;100;6.757913278;0.443732
1300000;123;0.807994475;0.520966
430000;71;7.463145327;0.127378
1650000;170;1.553783476;0.389857
1250000;176;1.201390171;0.879469
790000;87;0.944747437;0.884186
2400000;130;1.122777937;0.036774
590000;57;2.471000233;0.393379
2750000;134;0.719218463;0.774036
280000;70;8.026276792;0.755762
1600000;120;0.289627862;0.367221
550000;55;0.199397542;0.849187
660000;60;0.896238647;0.206975
320000;74;4.153672649;0.899678
1490000;90;0.053747085;0.608549
1045000;193;13.16964061;0.829945
330000;63;2.987861428;0.782926
10500000;700;0.65312713;0.041856
658900;77;4.167296356;0.860615
199999;60;6.627740416;0.788455
950000;90;0.391686458;0.671734
550000;53;3.876708462;0.895894
1050000;114;4.998693705;0.038137
570000;61;1.172585596;0.203775
1400000;177;1.197810176;0.162258
660000;81;1.119833436;0.725810
350000;46;2.865555652;0.251946
1650000;169;0.531267314;0.395988
600000;94;5.848652851;0.129752
1200000;190;0.785163593;0.694688
1150000;114;0.604415969;0.550216
435000;41;0.088381034;0.914856
320000;63;6.767819613;0.801616
500000;42;0.397346921;0.440264
550000;84;1.108530421;0.895964
840000;78;1.26076882;0.469612
6000000;241;2.694392754;0.001811
4900000;296;0.01756134;0.136101
1400000;64;1.800678055;0.922283
1690000;158;0.757053847;0.893402
699000;103;7.873965131;0.575046
499200;81;2.031456774;0.291412
224000;45;9.45685806;0.756862
2200000;90;1.468629743;0.009868
1600000;151;0.591869378;0.314612
1520000;90;0.692450367;0.169385
440000;69;7.671863706;0.581580
344900;60;4.358531322;0.768119
85000;43;12.56410166;0.018549
950000;50;0.193938294;0.307135
2600000;158;0.724049871;0.878708
1100000;90;0.708870322;0.428922
820000;110;0.479783517;0.927841
430000;29;0.494234393;0.568380
270000;60;7.221280146;0.901817
320000;25;0.717676967;0.604979
535000;89;4.454816201;0.027186
1300000;300;0.557611505;0.539943
599000;86;6.042941443;0.607614
320000;55;6.113725878;0.901827
3250000;140;0.437748884;0.085330
525000;74;7.286272583;0.198849
1250000;220;0.94537034;0.913646
1050000;80;1.501298857;0.264102
1450000;135;1.19582494;0.069239
1450000;166;5.125716912;0.168979
570000;95;1.106016483;0.223078
3000000;263;0.035247126;0.234657
770000;104;0.591945568;0.532727
6000000;200;0.04597059;0.643368
480000;85;8.01154368;0.184203
350000;80;11.92260087;0.662972
3045000;160;0.697684044;0.178630
543000;41;0.280467221;0.453770
525000;76;4.670943114;0.351864
195000;67;8.425391662;0.903281
670000;80;5.924420314;0.632404
1490000;100;0.178804799;0.589969
590000;89;0.87880643;0.566577
1950000;220;0.035988967;0.361666
1000000;245;1.318588813;0.933513
1150000;93;1.088546939;0.342495
450000;88;6.689422819;0.735926
1300000;120;4.457984478;0.874832
101000;42;16.09382618;0.269053
1950000;135;2.144663155;0.051445
299000;60;5.866257504;0.413478
1050000;110;1.327540262;0.612609
930000;97;0.233369869;0.980362
269000;38;1.598410275;0.396820
360000;37;1.219712418;0.238126
235000;64;2.598218975;0.140123
3200000;153;0.724049871;0.807227
560000;85;3.094592106;0.884672
140000;40;10.005449;0.845225
4000000;195;0.481389732;0.502835
450000;86;10.46737307;0.571321
1499993;104;1.764295347;0.625215
510000;94;7.982661487;0.377920
155000;51;7.690748023;0.999678
1500000;87;0.405862632;0.802403
2400000;195;1.853273539;0.062730
300000;25;0.56548488;0.259925
350000;77;7.436911376;0.332829
740000;116;0.806208206;0.134084
500000;78;5.799832592;0.760907
310000;55;3.789982217;0.595638
2100000;111;0.168733777;0.031133
1300000;189;0.358565153;0.435997
870000;109;1.103049147;0.296931
2100000;197;1.996440389;0.668052
650000;68;0.130153802;0.145371
310000;70;11.23812822;0.573947
1150000;75;0.37210579;0.604484
4400000;430;2.14846537;0.474038
990000;50;0.27115641;0.806864
495000;40;0.276671295;0.095701
125000;52;15.22471067;0.577738
950000;125;5.843632284;0.422483
4900000;290;0.159675214;0.918235
917000;90;0.37600887;0.925800
570000;71;8.34180807;0.742516
999993;116;0.36307632;0.524860
710000;125;6.013669832;0.964397
4800000;580;1.553783476;0.845039
460000;100;4.388864172;0.998320
959000;147;1.553783476;0.705598
700000;75;0.261918702;0.521145
